age,monthly_income,employment_type,credit_score,loan_amount,loan_purpose,existing_emis,dti,loan_tenure,bank_behavior,eligible
51,72615,Salaried,892,1514294,Home,55569,76.53,120,90.7,1
38,125138,Salaried,474,493226,Personal,79925,63.87,84,20.1,0
47,191118,Salaried,521,3154997,Business,25463,13.32,24,29.7,1
57,25014,Self-Employed,353,1565697,Personal,744,2.97,12,9.3,0
22,149345,Self-Employed,702,1723783,Car,36282,24.29,24,67.6,1
29,193207,Salaried,617,1968541,Business,52082,26.96,120,70.1,1
56,117842,Salaried,648,4181608,Business,54689,46.41,24,40.7,1
36,176953,Salaried,742,522803,Car,76407,43.18,36,68.3,1
43,93077,Salaried,879,1584851,Business,79072,84.95,180,92.3,1
35,154784,Self-Employed,839,2357022,Home,64766,41.84,120,93.7,1
47,67874,Salaried,581,643695,Personal,65711,96.81,240,51,0
49,84087,Salaried,659,1696673,Personal,3217,3.83,48,58.2,1
44,27297,Salaried,307,4523677,Car,30359,100,120,13.3,0
35,42128,Salaried,862,4140617,Home,53509,100,12,84.7,1
45,83368,Salaried,790,2713616,Business,61970,74.33,24,76.1,1
23,93958,Salaried,640,4863417,Personal,22357,23.79,120,46.1,1
47,47920,Salaried,771,3293283,Personal,42354,88.38,24,77.3,0
35,157228,Self-Employed,548,4771737,Personal,38570,24.53,84,38.7,1
28,157180,Salaried,534,1195865,Personal,7034,4.48,240,45.3,1
24,177917,Salaried,382,1761738,Education,16263,9.14,60,28.5,1
44,148872,Self-Employed,392,470129,Car,42180,28.33,120,27.3,0
39,188784,Salaried,693,3852010,Business,50099,26.54,12,55.7,1
59,148682,Self-Employed,567,2874743,Business,74312,49.98,180,44.9,0
56,92603,Salaried,716,4396048,Car,75348,81.37,240,75.5,1
36,48872,Salaried,882,1930352,Home,26925,55.09,60,100,1
46,25728,Salaried,828,462230,Car,19575,76.08,84,100,0
58,110102,Salaried,552,3793368,Personal,22231,20.19,180,40.2,1
49,137049,Salaried,421,3498196,Personal,76935,56.14,48,20.8,0
31,35583,Self-Employed,309,1606321,Car,47731,100,24,19.4,0
60,100774,Salaried,615,3027659,Car,23100,22.92,180,55.9,1
38,153335,Salaried,572,3422438,Business,10768,7.02,24,40.6,1
60,141374,Salaried,605,4938362,Business,59337,41.97,60,43,1
43,165528,Salaried,509,4005544,Education,50697,30.63,84,36.5,1
47,106118,Salaried,763,4772104,Education,11357,10.7,60,85.7,1
46,80942,Salaried,715,4119298,Personal,66973,82.74,84,77.6,0
38,28689,Self-Employed,515,3319503,Education,24946,86.95,84,28.9,0
34,179006,Self-Employed,379,128743,Education,71038,39.68,36,14,0
41,48276,Salaried,779,397786,Home,55149,100,36,76.2,1
46,116968,Salaried,846,2538883,Car,5566,4.76,240,89.8,1
25,165945,Self-Employed,317,654146,Business,41576,25.05,36,10.1,0
31,28050,Self-Employed,464,2075321,Education,53318,100,36,26.9,0
24,81216,Salaried,824,778927,Business,69550,85.64,24,92.6,1
39,99040,Self-Employed,501,4363399,Education,51408,51.91,120,39,0
57,36644,Salaried,645,1658412,Education,53506,100,48,52.6,0
43,77021,Self-Employed,665,1001399,Personal,79149,100,12,70.7,0
55,183197,Salaried,747,3825685,Home,40167,21.93,84,65.7,1
29,57291,Salaried,812,916603,Car,33699,58.82,60,75.2,1
61,181132,Self-Employed,618,2454710,Car,49545,27.35,24,49.2,1
40,147610,Salaried,516,3793087,Personal,52429,35.52,84,28.2,0
58,182248,Salaried,333,2895653,Personal,23386,12.83,12,10.3,1
27,56520,Salaried,565,3162959,Car,59273,100,36,64.7,0
47,40675,Self-Employed,379,4510745,Car,41585,100,48,22.2,0
55,164359,Self-Employed,712,4878105,Home,7509,4.57,36,62.1,1
27,15174,Self-Employed,551,4110828,Education,76607,100,84,33.8,0
58,107268,Salaried,311,2283232,Home,78764,73.43,48,9.7,0
54,49998,Self-Employed,700,267885,Car,77150,100,12,57.2,0
43,199384,Salaried,581,4392196,Education,75837,38.04,60,39,1
42,158184,Salaried,411,514764,Car,63305,40.02,60,21.5,0
27,120410,Self-Employed,677,2300477,Home,42851,35.59,240,58.5,1
27,90225,Salaried,567,2569570,Home,76910,85.24,180,45.5,0
25,59814,Salaried,597,641444,Home,34407,57.52,180,46.9,0
51,100091,Salaried,616,3962976,Education,46606,46.56,60,52.4,0
32,65719,Salaried,869,2142461,Business,79518,100,180,100,1
51,144887,Self-Employed,808,4304567,Business,45652,31.51,120,89.6,1
52,48919,Salaried,845,4101156,Car,10248,20.95,12,98.2,1
45,88155,Self-Employed,664,1217208,Education,10515,11.93,120,65.8,1
30,86569,Salaried,846,1372924,Personal,10830,12.51,180,96.7,1
24,56328,Salaried,570,1110528,Business,60631,100,36,45,0
52,39618,Salaried,773,1618402,Education,6799,17.16,240,67.2,1
61,49675,Self-Employed,836,3279051,Education,74083,100,180,88.5,0
58,33919,Salaried,533,1820020,Business,14328,42.24,24,41.4,0
57,19173,Self-Employed,358,192712,Education,12679,66.13,84,10.3,0
45,124369,Self-Employed,550,4532885,Education,21058,16.93,48,45,0
52,41400,Salaried,385,177129,Business,46696,100,36,30.7,0
27,196517,Salaried,689,924113,Home,38872,19.78,84,60.8,1
23,85305,Self-Employed,479,4549829,Car,54971,64.44,240,26.6,0
41,183636,Self-Employed,448,493172,Personal,23306,12.69,24,34.3,1
49,191886,Salaried,882,1042030,Car,28210,14.7,60,98,1
32,103791,Salaried,420,4780059,Home,45693,44.02,84,23.6,0
25,174034,Self-Employed,555,370098,Home,28239,16.23,48,37.8,1
36,85533,Self-Employed,608,4530349,Education,68917,80.57,120,45.5,0
27,118591,Salaried,358,2072063,Car,7447,6.28,24,0,0
51,156650,Self-Employed,368,807902,Home,20271,12.94,120,12.7,0
59,146060,Self-Employed,745,3789919,Car,65875,45.1,24,66.3,1
23,164696,Salaried,687,416099,Home,56843,34.51,12,55.7,1
36,54194,Self-Employed,385,4788347,Personal,26221,48.38,60,19.5,0
32,124903,Salaried,526,306094,Home,64388,51.55,24,32.6,0
29,146461,Salaried,892,1981327,Car,56467,38.55,180,89.1,1
47,114303,Salaried,483,4186578,Education,73269,64.1,180,20.1,0
26,128903,Salaried,621,4943704,Car,70585,54.76,12,60.8,1
27,82391,Self-Employed,617,4599417,Business,43086,52.29,48,52,0
47,159866,Salaried,865,4354979,Car,638,0.4,240,91,1
25,73002,Salaried,698,4338570,Personal,73245,100,60,67.7,0
40,50531,Salaried,592,3006181,Personal,70679,100,84,49.3,0
41,198887,Salaried,592,4540812,Personal,62934,31.64,36,44.4,1
54,19986,Salaried,784,4234900,Home,66760,100,60,78,0
41,47298,Self-Employed,746,1066487,Personal,47234,99.86,12,80.2,0
33,16481,Salaried,711,3778489,Car,61049,100,180,75.1,0
22,71408,Self-Employed,807,4485776,Education,63843,89.41,84,77.8,0
47,136950,Self-Employed,543,1270925,Personal,48047,35.08,24,50.7,1
35,162907,Salaried,719,2103301,Car,9741,5.98,48,85.9,1
59,140355,Self-Employed,453,4544950,Home,63004,44.89,48,23.2,0
58,42798,Salaried,723,4259979,Home,61489,100,240,68,0
32,106649,Salaried,572,1176805,Education,22991,21.56,240,38.1,1
57,79887,Salaried,819,2854660,Education,26081,32.65,60,81.2,1
34,34477,Salaried,427,1318895,Car,57304,100,36,23.8,0
24,163338,Salaried,672,1728575,Education,15642,9.58,12,80.5,1
54,142815,Self-Employed,867,4075481,Education,75103,52.59,84,100,1
27,189598,Salaried,458,2960049,Home,17399,9.18,180,23.7,1
31,142426,Self-Employed,870,1153371,Car,33103,23.24,12,91.6,1
26,157961,Salaried,869,784543,Education,15330,9.7,12,89.5,1
44,39335,Self-Employed,475,4348149,Car,16464,41.86,120,37.6,0
31,157326,Salaried,510,1410706,Personal,2134,1.36,120,33.1,1
23,101610,Salaried,746,1010705,Home,49409,48.63,24,78,1
34,26442,Salaried,885,4037338,Home,184,0.7,36,95.6,1
61,61289,Salaried,466,3974248,Home,49274,80.4,24,44.6,0
23,68747,Salaried,759,3449458,Business,72799,100,84,72.2,0
41,52327,Self-Employed,656,1302002,Car,55810,100,180,53.7,0
22,162271,Salaried,603,3069684,Personal,78727,48.52,180,46.6,1
58,87827,Self-Employed,532,2376485,Education,69050,78.62,12,42.1,0
30,121464,Self-Employed,626,3020207,Personal,32734,26.95,240,65.8,1
38,146184,Self-Employed,481,4617522,Car,71613,48.99,180,33.6,0
30,102051,Salaried,633,4721212,Home,50546,49.53,240,61.2,0
32,165653,Salaried,328,2318103,Business,35120,21.2,240,9.2,1
36,74722,Self-Employed,392,298595,Car,48484,64.89,84,2,0
45,107036,Self-Employed,629,2002361,Car,60563,56.58,36,54.7,0
59,162595,Salaried,483,2326881,Education,75036,46.15,12,28,0
56,81960,Salaried,394,970200,Personal,55113,67.24,180,14.5,0
51,34552,Salaried,652,890271,Personal,53096,100,36,52.1,0
52,156880,Salaried,564,3809257,Education,10133,6.46,120,50.9,1
26,169692,Self-Employed,318,1646261,Business,6405,3.77,84,3.4,0
35,15887,Salaried,798,1087763,Home,30269,100,36,83.3,0
32,46802,Salaried,438,3998602,Home,17085,36.5,84,21.8,0
30,100024,Salaried,872,2866300,Business,35702,35.69,36,90.3,1
55,133639,Salaried,824,1228152,Education,79883,59.78,240,73.1,1
33,133248,Self-Employed,554,4254069,Car,13502,10.13,12,44.5,1
56,96938,Self-Employed,384,3573700,Personal,46479,47.95,180,14.9,0
56,137746,Salaried,757,2157154,Car,79384,57.63,60,80.4,1
22,41049,Self-Employed,831,1882717,Personal,14426,35.14,48,89.1,0
61,92789,Salaried,861,1896398,Car,70231,75.69,12,84.9,1
43,99526,Salaried,391,2322660,Education,15860,15.94,240,8.8,0
50,153918,Salaried,899,527698,Education,46865,30.45,240,100,1
29,61220,Salaried,368,3182196,Business,47404,77.43,60,13.9,0
32,61163,Salaried,336,580929,Car,57423,93.89,240,12.4,0
58,149837,Salaried,439,3622653,Car,74379,49.64,240,30.5,0
35,132126,Self-Employed,865,3473496,Business,31152,23.58,120,86.3,1
51,96486,Salaried,477,3205694,Business,30737,31.86,180,26.8,0
56,191342,Self-Employed,436,2367574,Education,54325,28.39,12,28.1,0
42,90277,Salaried,489,2146852,Education,38767,42.94,48,25,0
58,119245,Self-Employed,641,2111838,Car,41705,34.97,48,53.6,0
26,137332,Self-Employed,858,2786563,Education,2002,1.46,240,88.8,1
40,37931,Salaried,304,4739825,Education,60237,100,36,0,0
35,104116,Self-Employed,556,2906064,Car,55713,53.51,12,41.6,0
47,70633,Salaried,542,1103535,Business,41815,59.2,60,36.4,0
25,66913,Self-Employed,714,2460098,Car,64997,97.14,120,65.8,0
46,109776,Salaried,642,1856129,Home,60859,55.44,48,59.1,1
46,40991,Salaried,678,1455313,Car,63236,100,240,71,0
39,119092,Self-Employed,893,2574462,Home,78243,65.7,84,100,1
61,156633,Salaried,445,3889757,Car,22743,14.52,84,25.6,1
29,162973,Salaried,622,4411502,Home,56739,34.81,36,66.8,1
60,110556,Self-Employed,421,4213121,Home,76326,69.04,60,25.4,0
61,77875,Salaried,551,4585484,Car,30339,38.96,84,48.3,0
35,171989,Salaried,610,3736788,Education,34121,19.84,48,50.4,1
53,77120,Salaried,774,4161818,Personal,42995,55.75,36,75.9,1
59,148060,Salaried,869,2723383,Education,52032,35.14,60,97.8,1
54,125041,Self-Employed,791,381012,Home,49831,39.85,120,89.1,1
44,143467,Salaried,874,727578,Car,41446,28.89,84,97.1,1
36,160328,Salaried,646,4869716,Car,45678,28.49,24,52.6,1
54,133490,Self-Employed,786,4458355,Car,20698,15.51,12,70.7,1
46,141155,Self-Employed,772,600162,Car,47918,33.95,60,66,1
38,43230,Salaried,681,2802447,Personal,57235,100,60,63.8,0
54,74778,Salaried,579,4769893,Business,6125,8.19,84,53,1
23,60833,Self-Employed,371,1418737,Home,47511,78.1,36,0,0
35,37625,Self-Employed,820,3413019,Personal,29046,77.2,12,81.8,0
61,47088,Salaried,665,3159848,Education,10114,21.48,48,54.7,1
61,187239,Salaried,393,4528903,Business,637,0.34,48,18.5,1
60,118937,Salaried,672,2806624,Business,38634,32.48,24,56.7,1
27,91361,Salaried,638,3514905,Car,35776,39.16,180,46.5,1
27,103229,Salaried,736,1601870,Personal,23600,22.86,84,67.8,1
24,150189,Self-Employed,635,3385160,Education,26809,17.85,36,49.7,1
28,105265,Salaried,791,4236321,Car,23756,22.57,12,81.9,1
29,112718,Self-Employed,339,1339783,Car,59469,52.76,36,4.8,0
36,75710,Salaried,658,1730913,Home,38368,50.68,180,63.2,0
50,109876,Self-Employed,873,4659231,Business,77185,70.25,48,95.4,1
54,45949,Self-Employed,553,184278,Education,76902,100,36,50.3,0
51,168619,Salaried,880,892721,Business,11880,7.05,48,93.1,1
60,83136,Salaried,697,331097,Personal,57155,68.75,48,71.1,1
48,126541,Salaried,469,2226082,Home,65316,51.62,24,30.7,0
57,76842,Self-Employed,810,3458939,Car,70856,92.21,48,82.6,0
50,41990,Self-Employed,559,3508530,Home,8727,20.78,240,48.7,0
59,162265,Salaried,883,2723605,Car,77260,47.61,48,90.7,1
54,45109,Salaried,758,4587229,Home,39211,86.93,12,86.3,0
58,145356,Salaried,828,2288083,Car,78930,54.3,12,81.8,1
48,165305,Self-Employed,640,1310561,Business,41417,25.05,12,45.9,1
54,143133,Salaried,356,3061164,Business,62827,43.89,60,0,0
25,180582,Salaried,517,2508547,Business,31437,17.41,84,36.9,1
43,16306,Salaried,763,3740789,Business,20519,100,84,72.7,0
23,18849,Salaried,546,2597663,Home,7983,42.35,84,42.4,0
31,27360,Self-Employed,672,301442,Car,44656,100,240,53.2,0
26,126072,Salaried,716,3470690,Business,5635,4.47,12,73.2,1
31,109767,Salaried,330,1370055,Home,19622,17.88,84,6.5,0
54,191872,Salaried,667,367152,Car,74975,39.08,180,57.5,1
59,183035,Salaried,858,3791761,Home,60666,33.14,180,98,1
34,69330,Salaried,407,4942812,Business,56005,80.78,36,22.4,0
52,66707,Self-Employed,883,4510025,Personal,11403,17.09,60,97.9,1
57,33689,Self-Employed,717,123916,Home,60477,100,48,76.6,0
45,44084,Salaried,697,476141,Business,65035,100,12,75.1,0
36,55387,Salaried,571,2067949,Education,32903,59.41,240,38.9,0
50,89816,Self-Employed,415,4303618,Car,7311,8.14,60,28.2,0
29,17642,Salaried,885,4648615,Business,50611,100,24,90.3,1
26,57137,Salaried,555,3833599,Education,20615,36.08,24,48.7,0
50,77260,Self-Employed,380,659003,Home,56808,73.53,120,20.9,0
25,161510,Self-Employed,427,2383728,Home,33580,20.79,48,19.8,0
33,63442,Self-Employed,534,106680,Education,57052,89.93,12,38.6,0
23,118061,Self-Employed,852,2100377,Education,42898,36.34,60,89.6,1
48,149066,Self-Employed,480,4750671,Car,23952,16.07,24,23.4,0
52,140844,Salaried,456,4875937,Home,15227,10.81,120,20.9,1
57,114575,Salaried,753,3918434,Education,13760,12.01,240,79.5,1
57,16813,Salaried,870,3282838,Personal,8826,52.5,12,100,1
47,108027,Salaried,323,3105319,Personal,79475,73.57,24,3.7,0
48,138489,Salaried,772,68510,Education,60432,43.64,84,70.6,1
26,99381,Salaried,699,3781624,Car,73996,74.46,180,57.3,0
41,70276,Salaried,891,4710009,Home,58204,82.82,120,97.7,1
32,56243,Salaried,433,3510054,Personal,8673,15.42,240,17.9,0
31,75272,Salaried,720,2698323,Education,36158,48.04,24,79.5,1
61,188123,Salaried,512,4971091,Education,74989,39.86,240,29.7,1
59,80618,Salaried,781,986232,Business,15904,19.73,48,84.9,1
27,16920,Self-Employed,647,4998587,Education,15396,90.99,36,52.9,0
29,121121,Salaried,465,4779686,Car,54039,44.62,120,25.2,0
44,91872,Salaried,647,2018487,Personal,4334,4.72,60,59.2,1
47,96132,Self-Employed,697,1635508,Business,27268,28.37,60,70.3,1
33,17093,Salaried,882,1469702,Personal,64636,100,24,100,1
47,27905,Salaried,734,102748,Personal,22068,79.08,84,67.9,0
34,136759,Salaried,876,4041181,Car,28247,20.65,84,96.8,1
61,170423,Salaried,520,1161227,Education,65121,38.21,48,33.7,1
39,45981,Self-Employed,607,4147304,Car,16285,35.42,60,39.7,0
46,88903,Salaried,765,78669,Education,24136,27.15,120,79.3,1
54,85821,Self-Employed,398,3596226,Business,60378,70.35,180,26.4,0
61,124200,Salaried,541,2435835,Car,37787,30.42,84,52.5,1
33,97289,Salaried,457,2019387,Car,24425,25.11,60,28.7,0
57,131506,Salaried,853,3999905,Home,18961,14.42,36,94.2,1
25,93513,Salaried,526,4477974,Car,33443,35.76,120,16.7,0
26,165946,Salaried,722,1917691,Home,18823,11.34,180,92.2,1
58,197003,Salaried,371,1251934,Education,75409,38.28,36,23.3,1
29,153746,Salaried,542,53599,Education,71123,46.26,60,46.4,1
49,65516,Salaried,829,1227089,Education,25852,39.46,24,88.7,1
52,84212,Salaried,888,3473261,Home,37535,44.57,48,80.2,1
30,148498,Self-Employed,344,2650017,Education,7004,4.72,48,8.8,0
50,145970,Salaried,771,1373038,Personal,27823,19.06,180,78.8,1
35,105009,Salaried,670,2412351,Car,54086,51.51,36,50.4,1
61,176015,Salaried,391,695452,Home,7131,4.05,60,18.8,1
43,59816,Salaried,321,1705443,Education,25649,42.88,60,13.4,0
32,19138,Self-Employed,471,2151794,Personal,4099,21.42,24,31.2,0
44,106176,Salaried,491,1632185,Car,50806,47.85,240,34.5,0
22,90945,Self-Employed,376,1440688,Car,31571,34.71,48,15.9,0
58,19017,Salaried,580,3939381,Education,30580,100,240,44.1,0
42,25451,Self-Employed,663,571315,Personal,26469,100,240,66.6,0
47,108863,Salaried,478,1517836,Home,65179,59.87,24,41.9,0
57,25278,Self-Employed,537,3348771,Education,24236,95.88,240,39.8,0
44,58764,Salaried,434,1878918,Car,25110,42.73,240,16.3,0
22,138030,Salaried,579,2788599,Car,23430,16.97,24,35.4,1
61,147206,Salaried,318,4007887,Car,44407,30.17,84,7,0
36,77943,Salaried,894,2220972,Education,37948,48.69,240,100,1
42,110667,Self-Employed,670,2780502,Business,57367,51.84,48,64.6,0
30,69318,Salaried,411,601764,Business,38180,55.08,24,16.6,0
30,118423,Salaried,520,3651627,Business,4652,3.93,120,38.9,1
31,118998,Salaried,603,3862079,Personal,72370,60.82,240,46.2,0
47,75128,Salaried,624,1839033,Education,7084,9.43,84,48.3,1
56,36869,Salaried,736,1218931,Car,45630,100,48,64.7,0
46,20039,Self-Employed,737,3265775,Personal,53276,100,12,64.9,0
47,167353,Salaried,469,4386172,Business,2655,1.59,48,32.4,1
32,127935,Self-Employed,674,2687108,Home,57752,45.14,36,60.2,1
59,25442,Salaried,856,2175258,Personal,47670,100,120,87.2,0
23,88788,Salaried,680,4992422,Personal,5272,5.94,60,52.4,1
28,134729,Self-Employed,313,2073106,Education,218,0.16,36,7.5,0
39,42586,Salaried,799,416074,Personal,37471,87.99,24,91.7,0
48,68053,Salaried,690,2034030,Education,48762,71.65,24,56.8,0
55,196561,Salaried,848,3444493,Home,21515,10.95,60,90.3,1
48,101346,Salaried,864,316651,Car,34307,33.85,180,86.5,1
38,82087,Salaried,829,227375,Car,78681,95.85,180,87,1
45,158697,Self-Employed,791,3298280,Business,17986,11.33,60,86.7,1
46,49397,Salaried,849,3351467,Business,70600,100,24,100,1
28,73671,Salaried,684,2277666,Home,54888,74.5,48,60.4,0
27,131214,Self-Employed,495,2388500,Car,11603,8.84,120,38.1,1
45,81897,Self-Employed,599,1876669,Business,68024,83.06,84,55.6,0
54,172221,Salaried,846,4165361,Personal,28897,16.78,120,89.8,1
50,151355,Salaried,607,3675153,Education,18802,12.42,60,60.4,1
43,153682,Salaried,551,2639201,Business,16411,10.68,24,39.2,1
47,189398,Self-Employed,307,1150620,Home,60399,31.89,180,4.6,0
49,29924,Self-Employed,507,1058882,Car,60692,100,24,29.9,0
42,128143,Salaried,430,180436,Home,57676,45.01,180,25.9,0
28,125253,Salaried,325,4333667,Education,12770,10.2,120,7.6,0
38,115297,Salaried,753,2468113,Education,73513,63.76,36,85,1
41,15869,Self-Employed,485,1725902,Home,37429,100,48,45.5,0
41,112088,Salaried,783,1669530,Business,59429,53.02,120,87.8,1
43,16014,Self-Employed,350,3615117,Business,70085,100,48,13.7,0
49,25103,Self-Employed,304,4650505,Car,20337,81.01,240,0,0
61,125317,Salaried,888,3183105,Car,24507,19.56,120,79.9,1
28,179530,Salaried,459,3218253,Personal,59596,33.2,12,36.9,1
22,97409,Salaried,507,3308021,Personal,70509,72.38,12,49.3,0
53,38248,Salaried,556,4281707,Car,8436,22.06,48,45.2,0
34,189588,Salaried,504,447046,Personal,10086,5.32,240,26,1
51,175133,Salaried,310,3120800,Home,19851,11.33,48,12.7,0
44,170242,Self-Employed,307,2299170,Business,39732,23.34,60,10,0
40,23024,Self-Employed,708,2432800,Personal,14842,64.46,12,51.7,0
53,100947,Salaried,331,1733415,Personal,1745,1.73,24,6.3,0
51,189875,Salaried,839,3513587,Home,12697,6.69,48,91.8,1
50,165368,Salaried,686,3121097,Education,3879,2.35,48,51.5,1
50,106829,Self-Employed,527,3756871,Car,18499,17.32,84,29.2,0
51,107708,Self-Employed,774,161597,Home,35035,32.53,84,87.7,1
37,101664,Salaried,506,4417226,Education,18651,18.35,180,34.9,1
61,164329,Salaried,617,1461379,Home,75224,45.78,240,45.2,1
40,158927,Salaried,856,2444019,Business,76524,48.15,12,87.3,1
39,100178,Salaried,647,3886827,Home,37249,37.18,12,48.2,1
22,116121,Salaried,533,4241161,Home,23849,20.54,84,39.4,1
35,35025,Self-Employed,343,3725555,Business,73309,100,48,13.2,0
23,150530,Self-Employed,441,4177741,Car,29076,19.32,48,32.9,0
49,78610,Salaried,475,1739224,Education,70123,89.2,12,23.8,0
51,85843,Self-Employed,748,2510436,Personal,33124,38.59,240,71.8,0
59,122237,Self-Employed,891,4592429,Car,15787,12.92,36,100,1
25,195903,Salaried,381,1920942,Home,53462,27.29,60,21.1,0
22,189499,Salaried,434,4122743,Personal,71035,37.49,12,25.3,1
29,145299,Self-Employed,476,2943059,Business,3841,2.64,180,39.5,1
50,184578,Salaried,682,244202,Car,44890,24.32,36,78.2,1
60,20668,Self-Employed,542,4566025,Education,25402,100,12,27.3,0
24,193267,Self-Employed,866,3978056,Car,66201,34.25,84,100,1
53,88233,Self-Employed,440,2879380,Car,23237,26.34,12,33.7,0
31,170489,Self-Employed,756,2588309,Personal,42988,25.21,36,66.6,1
31,96982,Self-Employed,739,1665620,Business,76310,78.68,60,76.9,0
40,121133,Self-Employed,355,4851294,Business,553,0.46,48,14.3,0
55,25751,Salaried,826,2980424,Car,13860,53.82,120,78.9,1
54,61218,Salaried,718,350767,Business,7045,11.51,84,69.2,1
44,141649,Salaried,387,4028222,Personal,74916,52.89,36,15.8,0
49,22352,Self-Employed,307,4300994,Personal,56435,100,180,0,0
53,103835,Salaried,776,1197556,Education,32261,31.07,180,76.6,1
28,112493,Salaried,514,567926,Business,78879,70.12,24,46.9,0
50,43927,Salaried,851,971594,Education,2853,6.49,120,100,1
29,187166,Self-Employed,796,506082,Home,75664,40.43,12,73.8,1
22,116948,Self-Employed,802,1478094,Personal,48022,41.06,24,62.3,1
24,44493,Self-Employed,544,3766714,Car,2736,6.15,180,50.6,0
45,46707,Salaried,777,2410406,Personal,33724,72.2,12,94.1,0
44,153368,Self-Employed,608,525197,Home,11440,7.46,24,58.3,1
29,171470,Self-Employed,530,1230034,Car,70716,41.24,12,36,1
58,50842,Salaried,682,1340858,Business,30284,59.56,60,55,0
24,28261,Salaried,454,4213219,Business,11646,41.21,120,30.6,0
54,91709,Salaried,474,1932809,Personal,14342,15.64,84,37.4,1
49,110985,Self-Employed,414,932517,Car,65620,59.13,84,13.7,0
29,121616,Salaried,689,3154632,Car,64261,52.84,84,67,1
55,82173,Salaried,610,1122374,Education,1935,2.35,180,48.2,1
56,46781,Self-Employed,599,1505357,Home,42376,90.58,60,55.9,0
53,28652,Salaried,317,2170179,Business,74798,100,120,0,0
45,20103,Salaried,311,550252,Personal,77140,100,36,5,0
35,40500,Salaried,703,3765222,Car,42481,100,240,64.2,0
53,115336,Salaried,531,4302638,Business,55721,48.31,36,53.2,0
37,181601,Self-Employed,577,2725059,Personal,2838,1.56,84,48.7,1
25,128499,Salaried,652,470091,Business,35330,27.49,36,64.3,1
58,164524,Salaried,602,4924178,Personal,78976,48,12,42.8,1
42,64393,Salaried,840,3349380,Business,36994,57.45,12,88.2,1
35,177246,Salaried,769,309201,Education,30384,17.14,36,81.3,1
52,181508,Salaried,376,2888339,Home,45378,25,48,9.8,1
39,62406,Self-Employed,820,4117520,Business,32643,52.31,24,84.7,1
28,78059,Self-Employed,323,4775326,Home,16926,21.68,240,5.9,0
31,162026,Self-Employed,314,1836936,Business,38977,24.06,180,0,0
28,97722,Self-Employed,824,4555797,Car,23652,24.2,36,83.1,1
54,27356,Salaried,646,4383227,Education,63295,100,120,64,0
44,143128,Salaried,471,2203766,Education,10270,7.18,48,25.4,1
42,17187,Self-Employed,626,253474,Home,61630,100,60,73,0
40,92243,Salaried,784,176745,Car,36417,39.48,48,81.4,1
40,50098,Salaried,788,1852572,Personal,46894,93.6,240,66.5,0
57,167297,Salaried,761,4700325,Education,56042,33.5,120,80.4,1
50,149678,Salaried,677,3145039,Car,63253,42.26,48,54.4,1
39,72620,Salaried,887,2685947,Car,48841,67.26,180,100,0
23,178900,Self-Employed,463,1423651,Home,52723,29.47,24,22.6,0
22,141270,Salaried,671,2746939,Car,20317,14.38,120,57.8,1
26,172561,Salaried,872,950794,Car,55008,31.88,12,100,1
41,29387,Self-Employed,723,1982457,Personal,36434,100,180,57.8,0
32,84463,Self-Employed,776,1457539,Home,46125,54.61,84,75.5,1
23,148663,Salaried,681,2146958,Home,75449,50.75,60,58.7,1
24,194588,Salaried,454,4330424,Car,74102,38.08,240,36.4,1
44,106683,Self-Employed,556,927350,Personal,557,0.52,240,39.9,1
33,77061,Self-Employed,367,640888,Business,44383,57.59,36,3.6,0
41,96257,Self-Employed,643,2713288,Education,6040,6.27,240,59,1
26,76753,Self-Employed,576,581108,Home,46652,60.78,240,38.8,0
58,99774,Self-Employed,690,363678,Personal,60941,61.08,24,59,0
59,157159,Salaried,748,1839087,Personal,74828,47.61,60,80.2,1
51,176888,Self-Employed,558,3583063,Car,26110,14.76,24,20.1,1
30,38408,Salaried,606,2492716,Education,5349,13.93,12,43.3,1
55,139116,Self-Employed,394,1277103,Home,30374,21.83,120,10.3,0
56,146208,Salaried,763,1444208,Business,42591,29.13,48,89.5,1
43,32413,Salaried,545,2660948,Car,57,0.18,60,44.4,0
45,128650,Salaried,486,2886297,Home,74039,57.55,48,30.7,0
38,74500,Salaried,672,583885,Home,64578,86.68,84,61.2,0
31,99514,Salaried,871,1841456,Personal,19121,19.21,24,96.2,1
51,71358,Salaried,705,2661111,Education,5493,7.7,180,69.5,1
44,81197,Salaried,707,4457300,Business,67818,83.52,48,68.8,0
53,178926,Self-Employed,424,3695207,Education,1431,0.8,180,36.2,1
38,91240,Salaried,636,3180512,Personal,60469,66.27,36,52.5,0
38,31322,Self-Employed,640,4656302,Business,62241,100,60,58.1,0
35,128053,Self-Employed,862,4709664,Business,45294,35.37,36,94,1
30,21968,Self-Employed,477,2114731,Car,11351,51.67,120,37,0
61,42518,Salaried,469,2648677,Business,32483,76.4,36,22.6,0
23,66925,Self-Employed,338,908468,Home,31195,46.61,180,3.4,0
46,126900,Salaried,368,3493214,Education,22735,17.92,240,0,0
60,108422,Salaried,535,3085633,Education,15203,14.02,24,47.1,1
30,16700,Salaried,859,1333224,Car,3974,23.8,36,81,1
43,108782,Salaried,680,3310564,Business,39713,36.51,120,67.6,1
25,38199,Self-Employed,356,156998,Personal,12636,33.08,60,22.8,0
47,190661,Salaried,576,4764714,Home,35070,18.39,120,61.4,1
